Experimento,No.,Clase,max_b1,max_b2,max_b3,max_b4,max_b5,max_b6,max_b7,max_b8,min_b1,min_b2,min_b3,min_b4,min_b5,min_b6,min_b7,min_b8,coe_cor_min,coe_cor_prom,coe_cor_max,con_min_ene,con_max_ene_pro,con_max_ene,cen_con_min,cen_con_prom,cen_con_max,des_est_sum_pro,rol_inv_min,rol_inv_prom,rol_inv_max,sum_ene_pro,ent_min,ent_prom,ent_max,spre_min,spre_prom,spre_max,kur_min,kur_prom,kur_max,asim_min,asim_prom,asim_max,deca_min,deca_prom,deca_max,max_b1,max_b2,max_b3,max_b4,max_b5,max_b6,min_b1,min_b2,min_b3,min_b4,min_b5,min_b6,rms_min,rms_prom,rms_max,rol_min,rol_prom,rol_max,cen_min,cen_prom,cen_max,corre_min,corre_prom,corre_max,ent_min,ent_prom,ent_max,no_sismo,tremor,impacto
L_F_04_I_10,21,0,3.90165085,7.857872814,11.20857105,6.402879075,1.983166817,1.133878925,1.216608632,1.625593817,3.023728634,5.430533279,8.875459407,4.402474092,1.278200454,0.69133993,0.799312959,0.981010981,0,0.219640618,0.973651809,36,39.83333333,43,1325.723793,1374.07439,1429.043874,8.050383348,74,79.33333333,86,30.21714809,0.798049939,0.807307699,0.821163412,812.7285962,852.8646107,888.4856098,4.189840119,4.541275129,4.932495075,1.227327881,1.300252786,1.376735485,0.034372296,0.03654908,0.037378017,11.63588495,10.31447985,11.54615428,10.54284892,9.871850315,5.025161392,5.64144467,4.898217703,4.082231281,4.216605793,4.601876893,2.635552918,2.643535748,3.480250923,3.712836685,109,113.2857143,117,41.02880172,42.49230776,44.44062518,0.732888444,0.796011278,0.838948832,0.854225201,0.891677377,0.915539835,7,0,0
L_V_01_A_01,22,0,9.076453762,3.989217991,6.297899479,6.559162265,3.100254087,3.30613358,3.726229572,4.690917871,2.766223658,1.283010575,3.844315582,2.983385266,0.904832454,0.946382847,1.175938634,1.40292369,0,0.207550201,0.974282098,6,26.66666667,46,1642.078087,1695.36753,1777.612822,3.629227451,109,111.5,114,31.05879574,0.691914646,0.83269054,0.893685819,1066.95231,1188.433665,1255.647065,1.875913747,2.056575261,2.618822099,0.334099675,0.465502775,0.642979664,0.007096653,0.015878648,0.02836577,9.383277283,9.224265305,9.190831893,7.573116205,7.168496353,5.445108903,6.910015157,5.59007845,5.39190957,5.123531111,5.1406549,1.915068584,3.352937145,3.752154743,4.473882542,107,111.1428571,117,39.24361637,40.81655204,41.81205708,0.725649409,0.786613905,0.836080262,0.869906654,0.885275675,0.904693136,7,0,0
L_V_01_B_01,23,0,7.061189828,7.599502407,11.95542881,9.473957793,3.099105343,2.154116207,3.047223531,3.372095165,3.614337424,3.921906918,8.810993612,4.929071142,1.790183643,1.314971592,2.004202067,1.75041879,0,0.216607792,0.976078551,6,35.66666667,45,1429.116988,1559.90663,1662.882565,4.519099258,97,102.5,110,36.79512787,0.797445235,0.840214751,0.869270285,968.8349421,1016.360295,1099.064549,2.475692823,2.95044497,3.404360633,0.708253393,0.842825663,1.021941544,0.019275502,0.026721935,0.03195519,10.46491145,11.2627025,10.26585068,9.282824333,8.861268177,5.295719859,6.839579148,6.3346284,8.561013453,6.32719937,6.382808156,3.025646783,3.177680955,3.296888516,3.589263504,112,112.8571429,114,41.23094267,41.88186038,42.66268706,0.718892907,0.80203117,0.859163216,0.875798483,0.897889118,0.915212357,7,0,0
L_V_01_C_01,24,0,7.814325215,6.292613464,12.01623379,10.74459644,4.149260085,2.897039458,3.444506871,4.080601413,3.533656935,4.948930333,10.15046943,8.447519287,3.190534551,2.15362055,2.582890659,3.116907578,0,0.217645636,0.978729737,8,32.66666667,39,1602.95079,1687.122024,1753.285092,3.971059754,103,106.1666667,108,44.34627614,0.859193688,0.873497396,0.883971165,995.0392487,1026.194864,1063.196143,2.524075234,2.687403345,2.919007424,0.618706212,0.694683251,0.789659145,0.027972822,0.033232201,0.037078993,10.3861539,11.71345137,10.29312045,8.149895909,9.97469358,6.085558305,6.692554584,4.991425029,7.722043401,5.609807918,5.636676528,2.996724118,3.348857081,3.765006247,4.517760092,109,112.8571429,117,39.72821448,42.41515532,45.36602108,0.745486274,0.795696935,0.833042483,0.883263763,0.897581711,0.915615741,7,0,0
L_V_01_D_01,25,0,6.885479171,8.553336963,10.62516408,8.303447643,3.136146264,2.868414153,2.785320373,2.605586772,3.289499193,5.682568055,9.590190331,6.128503595,2.395949866,1.856660133,1.783168644,1.777878491,0,0.217833095,0.970331702,41,42.33333333,44,1471.612682,1548.470135,1594.832806,4.808001666,95,99.33333333,103,38.39366885,0.845215936,0.854650232,0.868207438,944.9084142,974.6694077,1006.277073,2.820683818,3.039818564,3.337826945,0.826513476,0.895385704,0.990152986,0.031211929,0.034087178,0.038325685,9.364261178,9.939379161,11.78527484,10.01665778,9.655427282,7.485061287,5.873012888,4.690437672,5.794604283,5.452299528,5.210268534,4.370580151,3.512811374,6.144935685,11.33440559,112,115.7142857,120,42.22435662,43.88723018,45.3715397,0.716476017,0.778422774,0.83213983,0.869770505,0.892614839,0.913719523,7,0,0
L_V_01_E_01,26,0,7.609510609,9.608912744,11.52982679,9.078169317,2.903573472,1.67388277,1.702363637,1.812752499,3.412785991,4.004341865,7.090831438,4.575647854,1.433510717,0.882650645,0.744514118,0.948436279,0,0.217805909,0.977184467,7,35.33333333,42,1329.712857,1382.410239,1427.094643,5.966408609,77,82.66666667,87,37.94256238,0.800760165,0.835352288,0.852136747,853.7872029,891.7404995,924.4287452,3.633323349,3.831129282,4.241421786,0.968817033,1.074509347,1.157140498,0.038264942,0.041132511,0.044155002,10.19419151,9.541446483,10.51868147,9.256193632,10.03225032,5.478669777,5.433451782,4.642204114,6.079087417,4.647207332,4.388503548,3.205823185,3.541605392,4.228302343,4.605957419,108,112.5714286,116,39.28839412,42.3312494,45.22488209,0.754828802,0.802479363,0.854739091,0.878175463,0.897692366,0.906216115,7,0,0
L_V_01_G_01,27,0,8.238992558,10.50821728,11.3556914,9.653706195,3.560880223,2.025489724,1.763163658,1.787350766,5.486301497,7.119570937,6.892311093,4.835658851,1.709133278,1.048488413,1.078775551,1.035208478,0,0.21816627,0.977602942,7,25.33333333,45,1256.156811,1349.7018,1436.303725,4.897153357,79,81.66666667,85,40.26750612,0.82147386,0.844713357,0.860217294,875.4760072,888.5854843,914.1023305,3.567522165,3.814095349,4.150705628,1.000803854,1.110108951,1.245664777,0.037245151,0.04229761,0.049708948,8.878976219,10.36131386,8.571422364,10.39126657,9.295482143,6.978190084,6.882637404,6.469547722,5.044728507,5.865630264,5.64447714,2.419835539,7.697909619,9.844760279,12.53978045,107,113.4285714,117,41.18359683,43.60942643,46.66149392,0.703961574,0.758957964,0.825677804,0.868362022,0.887743255,0.899384857,6,1,0
L_V_01_H_01,28,0,7.028318468,9.566113272,10.06516897,7.467686678,2.773737251,1.363773835,1.247709499,1.140383548,5.484209164,5.372983368,4.737290009,3.139085022,1.291143965,0.819615893,0.71115609,0.571020493,0,0.213079747,0.982317415,6,14.33333333,41,1171.264043,1233.499236,1321.189934,5.921482205,75,77.83333333,82,28.41724587,0.793308448,0.809475039,0.852841241,858.4361045,891.7922999,928.9905203,3.557993435,3.906632401,4.162273468,1.086097404,1.16079511,1.249900061,0.040782987,0.04707416,0.053434119,9.968067353,11.21566253,9.448777772,11.13503489,8.883289245,5.459883916,6.136211312,5.44697399,5.110215315,5.817923802,5.657514401,3.062351492,4.55950244,6.298429007,15.36203722,110,114,117,41.94664118,43.37217742,45.26516236,0.697160604,0.790415024,0.83794675,0.873247473,0.891796632,0.917354598,7,0,0
L_V_02_A_01,29,0,8.748121731,5.318564838,8.016609427,7.670525829,3.678777799,3.461726754,3.4471539,3.691152849,6.908221072,4.104695757,5.195131329,4.074570486,2.204565193,2.27954328,2.21162148,2.440978056,0,0.219247994,0.984787174,6,19.5,52,1573.654065,1634.90169,1668.520802,4.480992726,106,108,111,37.32944667,0.849367908,0.872201239,0.893652419,1104.395734,1145.841954,1184.328215,2.086652229,2.23992111,2.505203365,0.499054039,0.566754357,0.688423829,0.006181776,0.011852757,0.016938198,9.605982836,8.862372023,9.659210371,9.587577079,9.135339514,4.835408461,6.032522677,4.79841447,4.863472897,4.770960276,4.86890167,2.930772472,2.750710136,3.775784056,4.589815492,107,111.8571429,115,40.41037055,41.86216403,43.39128248,0.769269623,0.804093704,0.842805955,0.878834226,0.894095601,0.914080259,7,0,0
L_V_02_B_01,30,0,7.27861937,6.52013283,9.268749228,7.060596668,4.961078262,2.679984401,2.707955885,3.612592649,4.934795597,3.886260313,6.072181002,5.048062168,2.142993578,1.566543742,1.863109704,2.621060197,0,0.212456636,0.965562741,5,22.33333333,49,1550.208051,1619.548688,1689.50123,2.830291221,105,107.8333333,111,36.15579097,0.839376344,0.866963996,0.886674988,1054.42143,1091.458401,1119.326206,2.365511134,2.500474756,2.68715885,0.560796812,0.681287924,0.848458832,0.026072123,0.03013771,0.037045601,9.605982836,8.862372023,9.659210371,9.587577079,9.135339514,4.835408461,6.032522677,4.79841447,4.863472897,4.770960276,4.86890167,2.930772472,2.750710136,3.775784056,4.589815492,107,111.8571429,115,40.41037055,41.86216403,43.39128248,0.769269623,0.804093704,0.842805955,0.878834226,0.894095601,0.914080259,7,0,0
